,phi,mincut_min,SSA,snowTypePrimary 
0,0.3924802190112686,0.04769476987780487, 18.200961118938476,RG
1,0.5935086898526825,0.17498712138167305, 6.984877740151037,MF
2,0.4698260085425097,0.0715972780306746, 17.30406845569939,RG
3,0.559623635740262,0.15570320917238223, 7.664863527232763,MF
4,0.5483868861381205,0.13944044408905346, 6.177840751064123,MF
5,0.3435242562418331,0.02068647540409344, 27.216025874113356,RG
6,0.30852876530453277,0.007550299779591932, 20.47329135712829,FC
7,0.3439967936387828,0.011122841077551154, 14.830162005067523,DH
8,0.300065494275604,0.007591246081632752, 23.01525256782126,RG
9,0.29981000810730896,0.006453040751020498, 17.971624683793035,DH
10,0.33819254254771647,0.018484132573974764, 13.209020564351558,DH
11,0.31219695057797164,0.013373474896010991, 14.63015279932226,DH
12,0.5698738658310581,0.16190241512248166, 8.494967356288088,MF
13,0.13626210452834012,0.0008508349595738897, 54.504051057599945,PP
14,0.14683541662040428,0.0011766475982665997, 50.205534937458026,PP
15,0.38677849029896694,0.05936988961796896, 21.461109545910503,RG
16,0.3055302161751813,0.027133146270752244, 17.5090464907623,RG
17,0.41350523446612425,0.05563548829655596, 14.74806593062798,RG
18,0.4513308090628038,0.035627580169690844, 20.780769006705956,RG
19,0.27265420139585606,0.011976789820009992, 20.67974406282089,FC
20,0.25062763324830123,0.01038727487806028, 19.736838857246155,FC
21,0.23296895014464494,0.008009545111904694, 20.06851311216037,FC
22,0.28854334032715373,0.020669832087992706, 19.846716236196706,FC
23,0.28937044339330426,0.02232771457912169, 18.321240451915532,FC
24,0.2946187486099182,0.023445018460193135, 18.417229790285738,FC
25,0.30106684512540893,0.020921030815991244, 19.847475371840076,RG
26,0.29997028387250346,0.02305227134240735, 18.56387000955985,RG
27,0.29013441059597195,0.022257676141818575, 18.62632639925459,RG
28,0.3403519579062159,0.030035251679953412, 17.60585833451248,FC
29,0.3588058185197637,0.03986856380196299, 14.573526612100547,FC
30,0.34689052045026814,0.03580166132685779, 15.932280009350114,FC
31,0.3079466344687284,0.02980746889658083, 18.048782483754792,FC
32,0.31316185681831626,0.028848404715811012, 17.442773579416222,FC
33,0.2294197523882225,0.013017006808010859, 19.585445648921,RG
34,0.22304996829128576,0.01215639838736112, 18.820154357168917,RG
35,0.2272438070008879,0.012790651339590522, 18.918541683259303,RG
36,0.3603447171428572,0.033573614119949545, 12.815653519737248,FC
37,0.3703083409467054,0.04200695586822064, 11.997008734073837,FC
38,0.36428203849112517,0.03818189046414246, 12.110976916938384,FC
39,0.2128818278953108,0.01111623866800862, 27.910957171833157,RG
40,0.1904731405411325,0.006723778892156258, 26.01710938479297,RG
41,0.17820719447500055,0.005206797673224645, 25.668645960785888,RG
42,0.3246909352889858,0.02702900619596534, 13.936101372606961,FC
43,0.31816952523901443,0.026217961597712076, 12.551074931082708,FC
44,0.3230047410652748,0.029580256009466805, 12.507823097972024,FC
45,0.3168722184078517,0.005639083196000069, 13.984417231187331,DH
46,0.27297866927430114,0.0047413351033915845, 10.778279296762575,DH
47,0.2763984625891464,0.004947035241325888, 11.212518450858049,DH
48,0.29997050366412215,0.002063783348000027, 12.248220634767083,DH
49,0.2763953248190333,0.004193524119582771, 9.758527858470416,DH
50,0.27439235735554585,0.006889516383112866, 9.686874063002218,DH
51,0.322805219651036,0.0019251793920000146, 12.32200792075231,DH
52,0.29520165079137034,0.010591632115101994, 9.274892862268459,DH
53,0.2807651100541963,0.0063986428563094395, 9.5103022819689,DH
54,0.3827166335744374,0.0149404412998255, 21.948698010627574,RG
55,0.36784675345245443,0.024688007748155417, 18.135385796286805,RG
56,0.349626713790928,0.02155686409252939, 18.024655978683164,RG
57,0.2576662176794434,0.008456445934948183, 31.66270676572557,DF
58,0.25647017406693257,0.007844303357785553, 29.132869786902802,DF
59,0.258181807427427,0.007092213026989703, 26.37319596088788,FC
60,0.25776786802689594,0.007537974853979329, 23.957973708986252,FC
61,0.23749749318845848,0.006395265184775165, 32.710521422760536,DF
62,0.23867270884158623,0.0066312880996540645, 26.909758178617885,DF
63,0.10135291689353307,0.000925460539792358, 50.371196359548,PP
64,0.31955069896016197,0.010549269375778624, 21.947330870179496,RG
65,0.3528538239877689,0.014641559274750065, 20.34107264895519,RG
66,0.340013647703409,0.014807771299664043, 22.631944390059083,RG
67,0.3852494990678593,0.009908356451211133, 16.153885710362204,DH
68,0.14952869077010872,0.0030964967916955344, 39.79900927338389,PP
69,0.39773019102947443,0.008160567036678218, 16.253222640204385,DH
70,0.4052957843533092,0.011689165785468159, 15.235407276984182,DH
71,0.22706059474372953,0.0054279075560000395, 29.833765262055252,DF
72,0.4473299339651735,0.06237376149377997, 17.432870837326863,RG
73,0.4413187980834957,0.05931579889787388, 17.593606147648526,RG
74,0.14186534580057292,0.0023628446938775407, 45.751532963571755,PP
75,0.13909917362676494,0.002355768677551008, 45.83638094842394,PP
76,0.13780543068886691,0.002105188416326504, 45.29149062545701,PP
77,0.1568785886287838,0.0035665175591837123, 42.11054749623417,DF
78,0.15786835249943568,0.004147532155102095, 42.25230943453158,DF
79,0.16263295484387866,0.005331837208163328, 41.6513798605274,DF
80,0.19529114872619868,0.006933906457142936, 35.10092708480194,DF
81,0.18932379180430547,0.007336547624489879, 35.7337612890906,DF
82,0.19735527067284306,0.008612517346938874, 35.40616185470213,DF
83,0.3972150634162549,0.058163353065538395, 10.980953387417397,MM
84,0.3959874336847662,0.05139304116170421, 15.420515071289746,MM
85,0.38776683185549116,0.04777531409652271, 15.282449330606516,MM
86,0.45535487300012284,0.05459117842090246, 23.4900582401952,MM
87,0.5105489264518146,0.1169774115453288, 8.226688900697846,MM
88,0.45193662637491233,0.1016650675574355, 8.987370115439305,MM
89,0.46126182131160864,0.09956530183054145, 8.216027057150812,MM
90,0.4361358264728258,0.09577646257330863, 10.11317861167829,MM
91,0.387263973086255,0.049880024610724986, 16.369429558951193,MM
92,0.4362247712059767,0.06976808419130917, 8.911057598652349,MM
93,0.418059073194938,0.06861591504533986, 10.046642001017904,MM
94,0.4860630101484919,0.07673596083761665, 5.333879306944264,MF
95,0.10667428512540895,0.000898011115999979, 42.2616378874053,DF
96,0.5026161452562705,0.05299048965607078, 18.46612533693536,RG
97,0.20672943401803828,0.0027430249239371648, 38.528993097357805,DF
98,0.20701058284084925,0.004835800257261037, 37.76349337631293,DF
99,0.22542580618411487,0.004401916730555588, 29.396175158798727,DF
100,0.2132495317233127,0.0042552919194444785, 28.716674940105122,DF
101,0.25086465079617515,0.004918590397222252, 28.676558857908574,DF
102,0.2575192309740902,0.0046369978444444696, 28.38173193266303,DF
103,0.28564122760915217,0.022097106580518673, 24.92508976407229,DF
104,0.3067219333247506,0.0294820640277892, 23.46528914888468,DF
105,0.19474509611777535,0.0010344711479999811, 16.974780254466864,DH
106,0.1926053540458015,0.0012588185199999904, 17.08642156098239,DH
107,0.13598153637949836,0.0014670976720000067, 38.691846347045534,DF
108,0.1579885853217012,0.0007134123799999713, 28.103635699287345,DF
109,0.1706110880697928,0.001063874955999983, 24.613122840704918,FC
110,0.175358819389313,0.0008566511159999714, 20.708383155637872,FC
111,0.20434029310796076,0.002545388024000029, 19.521852091252903,DH
112,0.21012266826608506,0.004905716820000048, 18.770537557366797,DH
